CURSO_ACADEMICO;CENTRO;ESTUDIO;TIPO_ESTUDIO;ALUMNOS_MATRICULADOS;ALUMNOS_NUEVO_INGRESO;PLAZAS_OFERTADAS;ALUMNOS_GRADUADOS;ALUMNOS_ADAPTA_GRADO_MATRI;ALUMNOS_ADAPTA_GRADO_MATRI_NI;ALUMNOS_ADAPTA_GRADO_TITULADO;ALUMNOS_CON_RECONOCIMIENTO;ALUMNOS_MOVILIDAD_ENTRADA;ALUMNOS_MOVILIDAD_SALIDA;CREDITOS_MATRICULADOS;CREDITOS_RECONOCIDOS;DURACION_MEDIA_GRADUADOS;TASA_EXITO;TASA_RENDIMIENTO;TASA_EFICIENCIA;TASA_ABANDONO;TASA_GRADUACION;FECHA_ACTUALIZACION
2013;Escuela de Ingeniería y Arquitectura;Ingeniería de Tecnologías y Servicios de Telecomunicación;Grado;244;84;90;25;0;0;0;55;4;6;14377.00;1043.00;4.00;78.91;58.27;94.22;68.42;11.84;29/04/2018
2013;Escuela de Ingeniería y Arquitectura;Ingeniería Electrica;Grado;296;85;90;19;41;41;14;129;11;9;14610.00;10697.00;4.00;73.83;56.14;98.10;51.52;9.09;29/04/2018
2013;Escuela de Ingeniería y Arquitectura;Ingeniería Electrónica y Automática;Grado;336;114;120;10;21;21;6;106;9;4;18664.00;7302.50;4.00;69.08;50.61;97.59;72.22;7.41;29/04/2018
2013;Escuela Universitaria Politécnica de Teruel;Ingeniería Electrónica y Automática;Grado;87;29;30;8;0;0;0;29;2;4;4588.00;769.00;4.00;78.85;65.86;95.86;39.13;26.09;29/04/2018
2013;Escuela de Ingeniería y Arquitectura;Ingeniería Informática;Grado;325;90;90;24;0;0;0;81;13;3;18810.00;1866.50;4.00;84.20;72.90;93.63;28.05;34.15;29/04/2018
2013;Escuela Universitaria Politécnica de Teruel;Ingeniería Informática;Grado;74;33;30;1;0;0;0;19;1;2;4214.00;489.00;4.00;77.78;62.09;100.00;33.33;0.00;29/04/2018
2013;Escuela de Ingeniería y Arquitectura;Ingeniería Mecánica;Grado;830;239;240;48;69;69;25;276;18;31;45228.00;20356.50;4.00;76.25;61.54;95.39;46.92;15.17;29/04/2018
2013;Escuela Universitaria Politécnica de la Almunia de Doña Godina;Ingeniería Mecatrónica;Grado;181;59;90;12;0;0;0;49;3;2;9750.00;1512.00;4.00;81.13;67.49;99.50;37.04;24.07;29/04/2018
2013;Escuela de Ingeniería y Arquitectura;Ingeniería Química;Grado;283;73;90;24;54;53;17;125;6;2;14938.00;13038.50;4.00;73.24;61.12;97.12;45.71;24.29;29/04/2018
2013;Facultad de Filosofía y Letras;Lenguas Modernas;Grado;154;55;55;6;0;0;0;4;82;21;9366.00;72.00;3.83;86.54;76.33;96.68;41.51;39.62;29/04/2018
2013;Facultad de Derecho;Programa conjunto ADE/Derecho;Grado;295;79;80;0;0;0;0;26;;9;22233.00;108.00;;94.96;91.55;;0.00;0.00;29/04/2018
2013;Escuela de Ingeniería y Arquitectura;Estudios en Arquitectura;Grado;346;70;70;35;0;0;0;51;41;30;20008.00;998.50;;85.32;79.37;;0.00;0.00;29/04/2018
2013;Facultad de Filosofía y Letras;Biblioteconomía y Documentación;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;29/04/2018
2013;Facultad de Economía y Empresa;Ciencias Empresariales;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;29/04/2018
2013;Facultad de Derecho;Derecho;Licenciatura o equivalente;646;0;;409;0;0;0;373;22;39;44328.50;10997.00;6.14;83.82;69.39;81.89;;;29/04/2018
2013;Facultad de Economía y Empresa;Diplomado Ciencias Empresariales;Diplomatura o equivalente;113;0;;90;0;0;0;24;;0;2082.00;98.50;9.25;94.04;80.19;45.46;;;29/04/2018
2013;Facultad de Empresa y Gestión Pública;Diplomado Ciencias Empresariales;Diplomatura o equivalente;14;0;;17;0;0;0;9;;0;235.50;37.50;9.53;90.91;76.43;39.79;;;29/04/2018
2013;Facultad de Ciencias;Estadística;Diplomatura o equivalente;7;0;;1;0;0;0;0;;0;289.50;0.00;9.00;11.63;7.77;40.96;;;29/04/2018
2013;Facultad de Filosofía y Letras;Filología Clásica;Licenciatura o equivalente;16;0;;8;0;0;0;1;3;0;921.00;3.00;6.29;93.31;75.59;92.58;;;29/04/2018
2013;Facultad de Ciencias;Físicas;Licenciatura o equivalente;48;0;;34;0;0;0;20;4;13;3133.50;185.00;6.16;93.92;83.71;81.41;;;29/04/2018
2013;Facultad de Empresa y Gestión Pública;Gestión y Administración Pública;Diplomatura o equivalente;11;0;;3;0;0;0;4;;0;177.00;20.00;6.00;80.99;55.37;76.42;;;29/04/2018
2013;Escuela de Ingeniería y Arquitectura;Ingeniero de Telecomunicación;Licenciatura o equivalente;102;0;;33;0;0;0;33;;13;4538.50;159.50;7.50;91.90;65.82;75.86;;;29/04/2018
2013;Escuela de Ingeniería y Arquitectura;Ingeniero en Informática;Licenciatura o equivalente;149;0;;52;0;0;0;55;;1;5034.50;286.50;8.27;94.16;65.25;73.45;;;29/04/2018
2013;Centro Politécnico Superior;Ingeniero Industrial;Licenciatura o equivalente;;;;0;;;0;;14;;;;;;;;;;29/04/2018
2013;Escuela de Ingeniería y Arquitectura;Ingeniero Industrial;Licenciatura o equivalente;473;0;;171;0;0;0;201;;75;20134.00;2246.00;7.28;93.21;74.40;73.85;;;29/04/2018
2013;Escuela de Ingeniería y Arquitectura;Ingeniero Técnico en Electrónica Industrial;Diplomatura o equivalente;151;0;;44;0;0;0;16;;0;3163.00;161.50;8.41;85.78;43.32;57.11;;;29/04/2018
2013;Escuela Universitaria de Ingeniería Técnica Industrial;Ingeniero Técnico en Electrónica Industrial;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;29/04/2018
2013;Escuela Universitaria Politécnica de la Almunia de Doña Godina;Ingeniero Técnico en Electrónica Industrial;Diplomatura o equivalente;45;0;;23;0;0;0;1;;0;990.00;0.50;10.60;96.73;71.82;51.38;;;29/04/2018
2013;Escuela Politécnica Superior;Ingeniero Técnico en Explotaciones Agropecuarias;Diplomatura o equivalente;25;0;;11;0;0;0;2;;0;110.50;2.50;12.67;100.00;91.49;55.90;;;29/04/2018
2013;Escuela Universitaria Politécnica de la Almunia de Doña Godina;Ingeniero Técnico en Informática de Sistemas;Diplomatura o equivalente;122;0;;68;0;0;0;0;;0;1259.00;0.00;13.70;98.78;60.07;52.46;;;29/04/2018
2013;Escuela Politécnica Superior;Ingeniero Técnico Industrial, E. Química Industrial;Diplomatura o equivalente;17;0;;6;0;0;0;4;;0;187.50;142.00;7.80;75.27;57.85;64.48;;;29/04/2018
2013;Escuela Universitaria Politécnica de Teruel;Ingeniero Técnico de Telecomunicación;Diplomatura o equivalente;38;0;;18;0;0;0;2;;0;452.00;3.50;13.88;92.57;66.15;38.37;;;29/04/2018
2013;Facultad de Ciencias;Matemáticas;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;29/04/2018
2013;Facultad de Medicina;Medicina y Cirugía;Licenciatura o equivalente;1;0;;0;0;0;0;0;;0;29.30;0.00;;;;;;;29/04/2018
2013;Facultad de Educación;Profesorado de E.G.B. Ciencias Humanas;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;29/04/2018
2013;Facultad de Ciencias;Químicas;Licenciatura o equivalente;115;0;;69;0;0;0;74;10;15;8075.50;845.50;6.62;91.73;78.54;77.04;;;29/04/2018
2013;Facultad de Ciencias Sociales y del Trabajo;Trabajo Social;Diplomatura o equivalente;;;;1;;;0;1;;;;0.50;9.00;;;73.61;;;29/04/2018
2013;Facultad de Veterinaria;Veterinaria;Licenciatura o equivalente;268;0;;161;0;0;0;160;16;15;20510.50;1872.00;6.05;92.68;77.43;79.88;;;29/04/2018
2013;Facultad de Filosofía y Letras;Filología Hispánica;Licenciatura o equivalente;61;0;;34;0;0;0;19;17;2;3202.50;88.50;5.58;90.30;65.94;83.31;;;29/04/2018
2013;Facultad de Filosofía y Letras;Filología Inglesa;Licenciatura o equivalente;129;0;;86;0;0;0;38;10;14;6191.00;246.00;6.13;88.83;73.40;82.49;;;29/04/2018
2013;Facultad de Filosofía y Letras;Filología Románica (Francés);Licenciatura o equivalente;17;0;;12;0;0;0;3;26;0;672.00;24.50;6.60;86.75;65.45;75.12;;;29/04/2018
2013;Facultad de Filosofía y Letras;Geografía e Historia;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;29/04/2018
2013;Escuela Universitaria de Ingeniería Técnica Industrial;Ingeniero Técnico Industrial;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;29/04/2018
2013;Escuela Universitaria Politécnica de la Almunia de Doña Godina;Ingeniero Técnico Agrícola;Diplomatura o equivalente;29;0;;15;0;0;0;1;;0;390.00;3.00;11.58;100.00;70.00;57.60;;;29/04/2018
