CURSO_ACADEMICO;LOCALIDAD;ESTUDIO;TIPO_ESTUDIO;TIPO_EGRESO;SEXO;ALUMNOS_GRADUADOS;ALUMNOS_INTERRUMPEN_ESTUDIOS;ALUMNOS_INTERRUMPEN_EST_ANO1;ALUMNOS_TRASLADAN_OTRA_UNIV;DURACION_MEDIA_GRADUADOS;TASA_EFICIENCIA;FECHA_ACTUALIZACION
2013;Huesca;Ciencias Ambientales;Grado;Abandono Voluntario;Hombres;0;11;5;0;;;29/04/2018
2013;Huesca;Ciencias Ambientales;Grado;Abandono Voluntario;Mujeres;0;2;1;0;;;29/04/2018
2013;Huesca;Ciencias Ambientales;Grado;Graduado;Hombres;14;0;0;0;5.29;84.34;29/04/2018
2013;Huesca;Ciencias Ambientales;Grado;Graduado;Mujeres;11;0;0;0;5.45;86.84;29/04/2018
2013;Huesca;Ciencias de la Actividad Física y del Deporte;Grado;Abandono Voluntario;Hombres;0;3;3;0;;;29/04/2018
2013;Huesca;Ciencias de la Actividad Física y del Deporte;Grado;Abandono Voluntario;Mujeres;0;1;1;0;;;29/04/2018
2013;Huesca;Ciencias de la Actividad Física y del Deporte;Grado;Cambio de estudios sin simultaneidad;Hombres;0;2;2;0;;;29/04/2018
2013;Huesca;Ciencias de la Actividad Física y del Deporte;Grado;Graduado;Hombres;38;0;0;0;4.26;96.07;29/04/2018
2013;Huesca;Ciencias de la Actividad Física y del Deporte;Grado;Graduado;Mujeres;9;0;0;0;4.14;94.59;29/04/2018
2013;Huesca;Ciencias de la Actividad Física y del Deporte;Grado;Incumple Régimen de permanencia;Hombres;0;1;0;0;;;29/04/2018
2013;Huesca;Ciencias de la Actividad Física y del Deporte;Grado;Traslado a otra Universidad;Hombres;0;0;0;3;;;29/04/2018
2013;Huesca;Ciencias de la Actividad Física y del Deporte;Grado;Traslado a otra Universidad;Mujeres;0;0;0;1;;;29/04/2018
2013;Huesca;Diplomado Ciencias Empresariales;Diplomatura o equivalente;Abandono Voluntario;Hombres;0;13;0;0;;;29/04/2018
2013;Huesca;Diplomado Ciencias Empresariales;Diplomatura o equivalente;Abandono Voluntario;Mujeres;0;9;0;0;;;29/04/2018
2013;Huesca;Diplomado Ciencias Empresariales;Diplomatura o equivalente;Graduado;Hombres;9;0;0;0;8.25;44.80;29/04/2018
2013;Huesca;Diplomado Ciencias Empresariales;Diplomatura o equivalente;Graduado;Mujeres;8;0;0;0;11.00;35.27;29/04/2018
2013;Huesca;Diplomado en Nutrición Humana;Diplomatura o equivalente;Abandono Voluntario;Mujeres;0;3;0;0;;;29/04/2018
2013;Huesca;Diplomado en Nutrición Humana;Diplomatura o equivalente;Graduado;Mujeres;4;0;0;0;6.00;72.58;29/04/2018
2013;Huesca;Dirección y planificación del turismo;Máster;Graduado;Hombres;2;0;0;0;2.00;83.33;29/04/2018
2013;Huesca;Dirección y planificación del turismo;Máster;Graduado;Mujeres;3;0;0;0;1.00;100.00;29/04/2018
2013;Huesca;Enfermería;Grado;Abandono Voluntario;Hombres;0;1;0;0;;;29/04/2018
2013;Huesca;Enfermería;Grado;Abandono Voluntario;Mujeres;0;3;1;0;;;29/04/2018
2013;Huesca;Enfermería;Grado;Cambio de estudios sin simultaneidad;Mujeres;0;1;1;0;;;29/04/2018
2013;Huesca;Enfermería;Grado;Graduado;Hombres;5;0;0;0;4.00;92.66;29/04/2018
2013;Huesca;Enfermería;Grado;Graduado;Mujeres;44;0;0;0;4.00;98.98;29/04/2018
2013;Huesca;Estudios Avanzados en Humanidades;Máster;Abandono Voluntario;Hombres;0;1;1;0;;;29/04/2018
2013;Huesca;Estudios Avanzados en Humanidades;Máster;Abandono Voluntario;Mujeres;0;2;2;0;;;29/04/2018
2013;Huesca;Gestión y Administración Pública;Diplomatura o equivalente;Abandono Voluntario;Hombres;0;5;0;0;;;29/04/2018
2013;Huesca;Gestión y Administración Pública;Diplomatura o equivalente;Abandono Voluntario;Mujeres;0;7;0;0;;;29/04/2018
2013;Huesca;Gestión y Administración Pública;Diplomatura o equivalente;Graduado;Hombres;1;0;0;0;7.00;66.20;29/04/2018
2013;Huesca;Gestión y Administración Pública;Diplomatura o equivalente;Graduado;Mujeres;2;0;0;0;5.50;82.21;29/04/2018
2013;Huesca;Gestión y Administración Pública;Grado;Abandono Voluntario;Hombres;0;9;7;0;;;29/04/2018
2013;Huesca;Gestión y Administración Pública;Grado;Abandono Voluntario;Mujeres;0;20;14;0;;;29/04/2018
2013;Huesca;Gestión y Administración Pública;Grado;Graduado;Hombres;7;0;0;0;4.00;100.00;29/04/2018
2013;Huesca;Gestión y Administración Pública;Grado;Graduado;Mujeres;2;0;0;0;;;29/04/2018
2013;Huesca;Ingeniería Agroalimentaria y del Medio Rural;Grado;Abandono Voluntario;Hombres;0;8;6;0;;;29/04/2018
2013;Huesca;Ingeniería Agroalimentaria y del Medio Rural;Grado;Abandono Voluntario;Mujeres;0;2;2;0;;;29/04/2018
2013;Huesca;Ingeniería Agroalimentaria y del Medio Rural;Grado;Graduado;Hombres;6;0;0;0;4.00;96.57;29/04/2018
2013;Huesca;Ingeniería Agroalimentaria y del Medio Rural;Grado;Graduado;Mujeres;7;0;0;0;;;29/04/2018
2013;Huesca;Ingeniero Agrónomo;Licenciatura o equivalente;Abandono Voluntario;Hombres;0;4;0;0;;;29/04/2018
2013;Huesca;Ingeniero Agrónomo;Licenciatura o equivalente;Abandono Voluntario;Mujeres;0;3;0;0;;;29/04/2018
2013;Huesca;Ingeniero Agrónomo;Licenciatura o equivalente;Cambio de estudios sin simultaneidad;Hombres;0;3;1;0;;;29/04/2018
2013;Huesca;Ingeniero Agrónomo;Licenciatura o equivalente;Graduado;Hombres;12;0;0;0;4.44;85.09;29/04/2018
2013;Huesca;Ingeniero Agrónomo;Licenciatura o equivalente;Graduado;Mujeres;2;0;0;0;5.50;89.52;29/04/2018
2013;Huesca;Ingeniero Técnico en Explotaciones Agropecuarias;Diplomatura o equivalente;Abandono Voluntario;Hombres;0;12;0;0;;;29/04/2018
2013;Huesca;Ingeniero Técnico en Explotaciones Agropecuarias;Diplomatura o equivalente;Abandono Voluntario;Mujeres;0;4;0;0;;;29/04/2018
2013;Huesca;Ingeniero Técnico en Explotaciones Agropecuarias;Diplomatura o equivalente;Cambio de estudios sin simultaneidad;Hombres;0;6;0;0;;;29/04/2018
2013;Huesca;Ingeniero Técnico en Explotaciones Agropecuarias;Diplomatura o equivalente;Cambio de estudios sin simultaneidad;Mujeres;0;3;0;0;;;29/04/2018
2013;Huesca;Ingeniero Técnico en Explotaciones Agropecuarias;Diplomatura o equivalente;Graduado;Hombres;9;0;0;0;13.29;56.89;29/04/2018
2013;Huesca;Ingeniero Técnico en Explotaciones Agropecuarias;Diplomatura o equivalente;Graduado;Mujeres;2;0;0;0;10.50;52.97;29/04/2018
